Detailed Report Categories over Three Years
Year,Category,SubCategory,# of Reports,Percentage
2018,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","140,090",4.50%
2018,Tax Preparers,Tax Preparers,"4,318",0.14%
2018,Telephone and Mobile Services,Connected Non-Wearable Devices*,182,0.01%
2018,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","46,186",1.48%
2018,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"2,000",0.06%
2018,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"5,360",0.17%
2018,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"1,312",0.04%
2018,Telephone and Mobile Services,Phone Carrier Switching,519,0.02%
2018,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡",85,0.00%
2018,Telephone and Mobile Services,Prepaid Phone Cards,"1,167",0.04%
2018,Telephone and Mobile Services,Telephone: Other§,"22,251",0.71%
2018,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,428,0.01%
2018,Telephone and Mobile Services,Telephone: VoIP Services§,573,0.02%
2018,Television and Electronic Media,Cable & Satellite TV,"37,642",1.21%
2018,Television and Electronic Media,Streaming & Digital Media,982,0.03%
2018,Television and Electronic Media,TV Programming & Ads,"1,717",0.06%
2018,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,429",0.08%
2018,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,721",0.22%
2018,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"22,853",0.73%
2018,Unspecified Reports,Other Misc.,"217,759",6.99%
2018,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,357",0.04%
2018,Unspecified Reports,Unsolicited Email,"22,611",0.73%
2018,Unspecified Reports,Unsolicited Text Messages,"93,333",3.00%
2018,Unspecified Reports,Unwanted Telemarketing Calls,"88,452",2.84%
2019,Advance Payments for Credit Services,Advance-Fee Credit,"12,887",0.40%
2019,Advance Payments for Credit Services,Credit Card Loss Protection,134,0.00%
2019,Advance Payments for Credit Services,Credit Repair,"3,987",0.12%
2019,Advance Payments for Credit Services,Refund Scams,472,0.01%
2019,Auto Related,Auto Financing,"9,874",0.30%
2019,Auto Related,Auto Parts & Repairs,"26,071",0.80%
2019,Auto Related,Auto Renting & Leasing,"10,968",0.34%
2019,Auto Related,Auto Service & Warranties,"7,825",0.24%
2019,Auto Related,Gasoline,311,0.01%
2019,Auto Related,New Auto Sales,"36,970",1.14%
2019,Auto Related,Used Auto Sales,"29,919",0.92%
2019,Banks and Lenders,Auto Title Lending,958,0.03%
2019,Banks and Lenders,Bank & Credit Union Lending,370,0.01%
2019,Banks and Lenders,"Banks, Credit Unions & S&Ls","54,940",1.69%
2019,Banks and Lenders,Finance Company Lending,"7,759",0.24%
2019,Banks and Lenders,Misc. Institution Lending,"11,150",0.34%
2019,Banks and Lenders,Mortgage Lending,"35,423",1.09%
